COD_HOSPITAL,cluster
101100,1
102100,1
103100,1
103101,1
104100,1
104103,1
105100,1
105101,1
105102,1
106100,1
106102,3
106103,1
107100,1
107101,1
107102,1
108100,1
108101,1
109100,1
109101,0
110100,1
110120,1
110130,1
110150,1
111100,1
111101,1
111195,3
112100,3
112101,1
112102,0
112103,2
112104,2
113100,1
113130,0
113150,1
113180,1
114101,1
114103,1
114105,1
115100,1
115107,1
115110,1
116100,1
116105,1
116108,1
116110,3
117101,1
117102,1
118100,1
118105,1
119100,1
120101,1
121109,1
121110,3
121114,3
121117,3
121121,1
122100,1
123100,1
124105,1
125100,1
126100,1
128109,1
129100,1
129106,1
133150,1
