COD_HOSPITAL,nivel1_K4,nivel1_etiqueta,nivel2_etiqueta
101100,1,MAINSTREAM,S4
102100,1,MAINSTREAM,S6
103100,1,MAINSTREAM,S5
103101,1,MAINSTREAM,S6
104100,1,MAINSTREAM,S4
104103,1,MAINSTREAM,S4
105100,1,MAINSTREAM,S6
105101,1,MAINSTREAM,S4
105102,1,MAINSTREAM,S6
106100,1,MAINSTREAM,S7
106102,3,C3,C3
106103,1,MAINSTREAM,S3
107100,1,MAINSTREAM,S8
107101,1,MAINSTREAM,S6
107102,1,MAINSTREAM,S2
108100,1,MAINSTREAM,S6
108101,1,MAINSTREAM,S4
109100,1,MAINSTREAM,S0
109101,0,C0,C0
110100,1,MAINSTREAM,S5
110120,1,MAINSTREAM,S6
110130,1,MAINSTREAM,S0
110150,1,MAINSTREAM,S0
111100,1,MAINSTREAM,S1
111101,1,MAINSTREAM,S7
111195,2,C2,C2
112100,2,C2,C2
112101,1,MAINSTREAM,S0
112102,0,C0,C0
112103,3,C3,C3
112104,3,C3,C3
113100,1,MAINSTREAM,S7
113130,0,C0,C0
113150,1,MAINSTREAM,S3
113180,1,MAINSTREAM,S0
114101,1,MAINSTREAM,S7
114103,1,MAINSTREAM,S6
114105,1,MAINSTREAM,S7
115100,1,MAINSTREAM,S7
115107,1,MAINSTREAM,S4
115110,1,MAINSTREAM,S2
116100,1,MAINSTREAM,S6
116105,1,MAINSTREAM,S5
116108,1,MAINSTREAM,S4
116110,1,MAINSTREAM,S3
117101,1,MAINSTREAM,S7
117102,1,MAINSTREAM,S4
118100,1,MAINSTREAM,S7
118105,1,MAINSTREAM,S3
119100,1,MAINSTREAM,S4
120101,1,MAINSTREAM,S4
121109,1,MAINSTREAM,S5
121110,2,C2,C2
121114,2,C2,C2
121117,2,C2,C2
121121,1,MAINSTREAM,S2
122100,1,MAINSTREAM,S5
123100,1,MAINSTREAM,S4
124105,1,MAINSTREAM,S7
125100,1,MAINSTREAM,S4
126100,1,MAINSTREAM,S7
128109,1,MAINSTREAM,S2
129100,1,MAINSTREAM,S4
129106,1,MAINSTREAM,S4
133150,1,MAINSTREAM,S4
