metodo,K,silhouette,davies,K_efectivo,n_singletons,n_pares,n_triadas,n_clusters_n4plus,n_clusters_n5plus,mainstream_size,tamanos,bic
K-means,2,0.6001405783993055,0.48473668542490367,2,0,0,1,1,1,62,"[62, 3]",
K-means,3,0.4300888714966971,1.3022706443961642,3,0,0,1,2,2,53,"[53, 9, 3]",
K-means,4,0.406411635698589,1.0001306001784802,4,0,1,1,2,2,53,"[53, 7, 3, 2]",
K-means,5,0.1490858249434598,1.470383024074286,5,0,1,1,3,3,31,"[31, 22, 7, 3, 2]",
K-means,6,0.1403655589730889,1.2730027018082082,6,1,1,1,3,3,27,"[27, 26, 6, 3, 2, 1]",
K-means,7,0.1136507945116273,1.2860539636454906,7,1,1,1,4,4,21,"[21, 17, 15, 6, 3, 2, 1]",
K-means,8,0.128265233069104,1.2114251012747,8,1,2,1,4,3,21,"[21, 16, 16, 4, 3, 2, 2, 1]",
K-means,9,0.15190989652449205,1.148267891370138,9,2,2,1,4,4,27,"[27, 12, 11, 6, 3, 2, 2, 1, 1]",
K-means,10,0.15299071328687366,1.0977074147972803,10,3,1,1,5,4,23,"[23, 13, 12, 5, 4, 3, 2, 1, 1, 1]",
K-means,11,0.12880960569039065,1.049901157149088,11,4,1,1,5,5,17,"[17, 14, 11, 9, 5, 3, 2, 1, 1, 1, 1]",
K-means,12,0.12299899547056672,0.9896292368203369,12,6,0,1,5,5,16,"[16, 15, 10, 10, 5, 3, 1, 1, 1, 1, 1, 1]",
K-means,13,0.14676039061956106,0.9339326588886789,13,6,0,1,6,6,16,"[16, 11, 9, 9, 6, 5, 3, 1, 1, 1, 1, 1, 1]",
K-means,14,0.14485159260008632,0.8837573011058811,14,7,0,2,5,4,21,"[21, 16, 6, 5, 4, 3, 3, 1, 1, 1, 1, 1, 1, 1]",
K-means,15,0.1455232606219087,0.8757735050122515,15,7,0,2,6,5,17,"[17, 10, 9, 7, 5, 4, 3, 3, 1, 1, 1, 1, 1, 1, 1]",
Aglomerativo,2,0.6001405783993055,0.48473668542490367,2,0,0,1,1,1,62,"[62, 3]",
Aglomerativo,3,0.4475329648620098,1.259790333645097,3,0,0,1,2,2,54,"[54, 8, 3]",
Aglomerativo,4,0.39795163468699657,0.9941519555311455,4,0,0,2,2,2,54,"[54, 5, 3, 3]",
Aglomerativo,5,0.20713452327767082,1.4675046127714457,5,0,0,2,3,3,40,"[40, 14, 5, 3, 3]",
Aglomerativo,6,0.21047789464850333,1.2411937828907809,6,1,1,1,3,3,40,"[40, 14, 5, 3, 2, 1]",
Aglomerativo,7,0.2192559918864221,1.126946707100328,7,1,2,2,2,2,40,"[40, 14, 3, 3, 2, 2, 1]",
Aglomerativo,8,0.15187397417442766,1.280422635768824,8,1,2,2,3,3,29,"[29, 14, 11, 3, 3, 2, 2, 1]",
