metodo_1,metodo_2,ARI
kmeans_K=2,aggl_K=2,1.0
"leiden_k_nn=15, res=0.5","leiden_k_nn=20, res=0.5",1.0
hdbscan_min_cluster_size=6,hdbscan_min_cluster_size=8,1.0
hdbscan_min_cluster_size=6,"leiden_k_nn=15, res=0.5",1.0
hdbscan_min_cluster_size=6,"leiden_k_nn=20, res=0.5",1.0
hdbscan_min_cluster_size=8,"leiden_k_nn=15, res=0.5",1.0
hdbscan_min_cluster_size=8,"leiden_k_nn=20, res=0.5",1.0
aggl_K=6,aggl_K=7,0.9978513107004727
aggl_K=4,aggl_K=5,0.9967337435695577
gmm_K=6,gmm_K=7,0.9863588667366212
kmeans_K=3,kmeans_K=4,0.9845224132013398
hdbscan_min_cluster_size=4,hdbscan_min_cluster_size=5,0.8778367711318893
kmeans_K=3,gmm_K=2,0.8677547698706936
kmeans_K=4,gmm_K=2,0.8525789299768692
gmm_K=3,gmm_K=4,0.8414815764078607
"leiden_k_nn=10, res=1.0","leiden_k_nn=15, res=1.0",0.8123233649662125
aggl_K=7,aggl_K=8,0.7576038736988605
aggl_K=6,aggl_K=8,0.7555824853420776
kmeans_K=2,aggl_K=3,0.6914514874984654
aggl_K=2,aggl_K=3,0.6914514874984654
hdbscan_min_cluster_size=3,hdbscan_min_cluster_size=4,0.6818174068383873
aggl_K=3,aggl_K=4,0.6793656185940019
aggl_K=3,aggl_K=5,0.6764382200387271
"leiden_k_nn=10, res=1.5","leiden_k_nn=10, res=2.0",0.674107353538023
hdbscan_min_cluster_size=3,hdbscan_min_cluster_size=5,0.6722948811352806
"leiden_k_nn=10, res=0.5","leiden_k_nn=15, res=1.0",0.6621113781012925
"leiden_k_nn=15, res=1.5","leiden_k_nn=15, res=2.0",0.6285265035831998
kmeans_K=8,aggl_K=8,0.6182252368059724
"leiden_k_nn=10, res=0.5","leiden_k_nn=10, res=1.0",0.6149232068010486
"leiden_k_nn=10, res=0.5","leiden_k_nn=20, res=1.0",0.6016313720845886
kmeans_K=7,gmm_K=8,0.5958415841584158
kmeans_K=5,aggl_K=7,0.5879389427776525
kmeans_K=5,aggl_K=6,0.5860383352094867
kmeans_K=4,aggl_K=5,0.5675524125793979
kmeans_K=4,aggl_K=4,0.5645068538443393
kmeans_K=7,gmm_K=3,0.554182336276735
kmeans_K=3,aggl_K=4,0.5522309866292255
kmeans_K=8,aggl_K=7,0.5504571129098003
kmeans_K=3,aggl_K=5,0.5493736751186085
kmeans_K=8,aggl_K=6,0.5486918864750725
kmeans_K=4,kmeans_K=5,0.5482251505961987
kmeans_K=3,kmeans_K=5,0.5338707479197519
gmm_K=7,gmm_K=8,0.5303407247160628
gmm_K=6,gmm_K=8,0.5201716738197425
kmeans_K=7,gmm_K=4,0.5047278551149003
kmeans_K=6,aggl_K=7,0.5028836000324912
kmeans_K=6,aggl_K=6,0.5010905579327684
gmm_K=5,gmm_K=6,0.49980369061641144
"leiden_k_nn=15, res=1.0","leiden_k_nn=20, res=1.0",0.4932658315212809
gmm_K=5,gmm_K=7,0.4917312533938885
kmeans_K=6,"leiden_k_nn=20, res=1.0",0.48849995744756647
"leiden_k_nn=10, res=1.0","leiden_k_nn=10, res=1.5",0.48233133605363143
"leiden_k_nn=10, res=2.0","leiden_k_nn=15, res=2.0",0.47912996265886604
"leiden_k_nn=15, res=1.5","leiden_k_nn=20, res=1.5",0.4766623500929002
kmeans_K=6,"leiden_k_nn=10, res=0.5",0.4733392336719239
gmm_K=4,gmm_K=5,0.4731220785971581
kmeans_K=8,"leiden_k_nn=10, res=1.0",0.46661219704975976
kmeans_K=4,kmeans_K=7,0.46548891009679894
"leiden_k_nn=10, res=2.0","leiden_k_nn=15, res=1.5",0.46033387501846657
kmeans_K=7,gmm_K=7,0.45828059585239994
kmeans_K=3,kmeans_K=7,0.45413586363733577
gmm_K=3,gmm_K=8,0.4493327593628928
kmeans_K=5,kmeans_K=6,0.449124323028579
kmeans_K=8,"leiden_k_nn=15, res=1.0",0.44911250553376314
kmeans_K=7,gmm_K=6,0.4486831913245546
gmm_K=2,gmm_K=3,0.44642756759795377
"leiden_k_nn=10, res=1.5","leiden_k_nn=15, res=1.0",0.4432232055223433
kmeans_K=5,"leiden_k_nn=15, res=1.0",0.4384638072976263
kmeans_K=7,aggl_K=8,0.4363638111535171
kmeans_K=6,kmeans_K=8,0.4323698083919036
"leiden_k_nn=10, res=1.0","leiden_k_nn=15, res=1.5",0.43075948423641647
"leiden_k_nn=10, res=1.0","leiden_k_nn=20, res=1.0",0.4296317846219168
"leiden_k_nn=10, res=1.5","leiden_k_nn=15, res=2.0",0.4288046011243669
kmeans_K=2,aggl_K=4,0.4274592815903129
aggl_K=2,aggl_K=4,0.4274592815903129
aggl_K=2,aggl_K=5,0.4252678115966672
kmeans_K=2,aggl_K=5,0.4252678115966672
kmeans_K=6,"leiden_k_nn=15, res=1.0",0.42314611769048127
kmeans_K=7,kmeans_K=8,0.42162988181132366
gmm_K=4,gmm_K=8,0.41596165867889145
kmeans_K=6,aggl_K=8,0.41492972988849186
kmeans_K=5,gmm_K=2,0.4149120027652159
"leiden_k_nn=15, res=1.0","leiden_k_nn=15, res=1.5",0.40905821823077065
aggl_K=5,aggl_K=6,0.40227097049337635
aggl_K=5,aggl_K=7,0.40089173628847236
aggl_K=4,aggl_K=6,0.4001757726673502
aggl_K=4,aggl_K=7,0.3988019290240263
"leiden_k_nn=10, res=1.5","leiden_k_nn=15, res=1.5",0.3964571459152819
gmm_K=4,gmm_K=6,0.3950739730556244
gmm_K=3,gmm_K=6,0.3932890478623744
kmeans_K=3,gmm_K=3,0.39250465945665935
aggl_K=4,gmm_K=2,0.39051468004217116
kmeans_K=4,aggl_K=6,0.3897993722245527
kmeans_K=4,aggl_K=7,0.38799971797222027
aggl_K=5,gmm_K=2,0.38781048464338164
kmeans_K=7,gmm_K=5,0.3864973905318873
gmm_K=4,gmm_K=7,0.3851887896137241
kmeans_K=8,gmm_K=8,0.384467059453669
gmm_K=3,gmm_K=5,0.38294736316170774
gmm_K=3,gmm_K=7,0.3805426869622766
"leiden_k_nn=10, res=1.5",gmm_K=8,0.38053955744164897
kmeans_K=4,gmm_K=3,0.3789165398648538
kmeans_K=3,aggl_K=6,0.3777800169859937
kmeans_K=3,aggl_K=7,0.37600860677783754
kmeans_K=7,"leiden_k_nn=10, res=1.0",0.3741219202960628
kmeans_K=4,aggl_K=3,0.37069699303412296
kmeans_K=5,kmeans_K=8,0.36785450103222406
