metodo,config,n_clusters_efectivos,n_outliers,silhouette,calinski_harabasz,davies_bouldin,bic,aic
K-means++,K=2,2,,0.48447007777314016,10.860637352336374,1.5132880862816345,,
Aglomerativo (Ward),K=2,2,,0.48447007777314016,10.860637352336374,1.5132880862816345,,
Aglomerativo (Ward),K=3,3,,0.3784261561303543,10.287591648121596,1.32702279441318,,
Aglomerativo (Ward),K=5,5,,0.3031766514364521,10.695606607417716,1.031802664219252,,
Aglomerativo (Ward),K=4,4,,0.29913400116227634,10.520883186288403,1.2978456113985237,,
HDBSCAN,min_cluster_size=5,2,53.0,0.26508741463004565,5.856627411108057,1.2549738796864405,,
K-means++,K=3,3,,0.25205840889723585,9.66820672850214,1.7272660409931857,,
K-means++,K=4,4,,0.244090525154453,10.184325246801114,1.3050951443879175,,
GMM,K=2,2,,0.22406652867522417,10.021975002219188,2.173787791479313,2805.7391300896743,1981.6463547992278
HDBSCAN,min_cluster_size=3,3,47.0,0.21085510895651224,5.7580629922022135,1.3349536105623596,,
HDBSCAN,min_cluster_size=4,2,51.0,0.21075662582582771,4.95742587005717,1.4919301065106465,,
K-means++,K=5,5,,0.15497385910531744,10.606423642444936,1.1416423925395764,,
K-means++,K=7,7,,0.14660095572098478,11.191583912264694,1.2241334535947896,,
K-means++,K=8,8,,0.14246342189582192,11.659487487653266,1.191957058780607,,
Aglomerativo (Ward),K=8,8,,0.13085272849428187,11.321291695671515,1.2133264718656043,,
GMM,K=8,8,,0.12968546174975235,10.986373306113066,1.214523625774773,2773.5323153029317,-529.3619476685403
K-means++,K=6,6,,0.12446362804044692,11.222263495977376,1.2765310092423325,,
Aglomerativo (Ward),K=7,7,,0.11867240686857927,11.07165112222756,1.2324703892403182,,
Aglomerativo (Ward),K=6,6,,0.11567016855172337,10.735868786541404,1.4361508563647973,,
GMM,K=7,7,,0.10098316357861692,9.631238527454185,1.3723797237644146,2759.987627957722,-129.77305373357922
KNN-graph + Leiden,"k_nn=10, res=0.5",2,,0.09520806437600668,7.846845988251824,2.44585861112309,,
GMM,K=4,4,,0.08815524688909633,8.126084355119387,1.7535553571996771,2626.0567628756703,975.6968250248818
GMM,K=6,6,,0.08749777604342508,8.338160218443806,1.5745692414482646,2258.484019330322,-218.14308108080832
KNN-graph + Leiden,"k_nn=10, res=1.0",3,,0.08052011477857435,6.909403830596066,2.144894193189477,,
KNN-graph + Leiden,"k_nn=15, res=1.0",3,,0.07119347270454415,7.0366594942817295,2.1183641242796916,,
GMM,K=3,3,,0.07047290002504815,7.315440065380308,2.2781639090819867,2487.398584199356,1250.1722276287383
GMM,K=5,5,,0.0616380660796169,7.41933081968075,1.8271873683106912,2390.087969987834,326.594450856875
KNN-graph + Leiden,"k_nn=10, res=1.5",6,,0.04954116611406106,5.182379296298168,2.115805247352861,,
KNN-graph + Leiden,"k_nn=20, res=1.0",3,,0.032141357921406766,5.224238985173966,2.4016382774764047,,
KNN-graph + Leiden,"k_nn=10, res=2.0",9,,-0.18617400626363842,3.8617278616987805,1.8997036909365548,,
KNN-graph + Leiden,"k_nn=15, res=2.0",13,,-0.21670930950825534,2.7817999355158753,1.677847445714047,,
KNN-graph + Leiden,"k_nn=20, res=2.0",24,,-0.22322313558506743,1.5804778990019892,1.4179442280358867,,
KNN-graph + Leiden,"k_nn=15, res=1.5",8,,-0.2320626250095269,3.686704344958698,1.8599154372515712,,
KNN-graph + Leiden,"k_nn=20, res=1.5",10,,-0.2545526731845395,2.7652837300277455,1.8600265608798878,,
HDBSCAN,min_cluster_size=8,0,65.0,-1.0,0.0,inf,,
HDBSCAN,min_cluster_size=6,0,65.0,-1.0,0.0,inf,,
KNN-graph + Leiden,"k_nn=20, res=0.5",1,,-1.0,0.0,inf,,
KNN-graph + Leiden,"k_nn=15, res=0.5",1,,-1.0,0.0,inf,,
