COD_HOSPITAL,cluster_original,n_vecinos_cluster,estabilidad_individual
101100,1,53,0.965443756582615
102100,1,53,0.9725210362529584
103100,1,53,0.9664131148372479
103101,1,53,0.9679727561776161
104100,1,53,0.968440388905593
104103,1,53,0.9686514920444745
105100,1,53,0.9676637483989075
105101,1,53,0.9743806238735293
105102,1,53,0.9686940531384081
106100,1,53,0.9666617588695449
106102,3,2,0.8752367424242424
106103,1,53,0.7680311029436536
107100,1,53,0.9530061613500947
107101,1,53,0.9714972970299692
107102,1,53,0.9542953086465638
108100,1,53,0.9711497512879782
108101,1,53,0.9668171934549618
109100,1,53,0.9592115048973466
109101,0,2,1.0
110100,1,53,0.9705694353124911
110120,1,53,0.9590396483207362
110130,1,53,0.9585782891368237
110150,1,53,0.960649869094928
111100,1,53,0.9600918924884287
111101,1,53,0.9381417495493792
111195,2,4,0.9646671634376552
112100,2,4,0.9523942261330762
112101,1,53,0.959806042286695
112102,0,2,1.0
112103,3,2,0.9843597262952102
112104,3,2,0.8747479838709677
113100,1,53,0.9300994909451573
113130,0,2,1.0
113150,1,53,0.9677436456295847
113180,1,53,0.9463902283440686
114101,1,53,0.9653057897915674
114103,1,53,0.9740163678933783
114105,1,53,0.9429118220747245
115100,1,53,0.9693832843755338
115107,1,53,0.9668060792760906
115110,1,53,0.9657079604148321
116100,1,53,0.968099666335069
116105,1,53,0.9646742188504958
116108,1,53,0.9727007435317176
116110,1,53,0.5190478051468597
117101,1,53,0.9566283600120368
117102,1,53,0.9715468372383016
118100,1,53,0.9575082451404722
118105,1,53,0.7293045812470054
119100,1,53,0.9671555840087136
120101,1,53,0.9673380125965778
121109,1,53,0.964086537005751
121110,2,4,0.9631147540983607
121114,2,4,0.9576231060606061
121117,2,4,0.9963235294117647
121121,1,53,0.9347934061444125
122100,1,53,0.9649829016208543
123100,1,53,0.967915708553544
124105,1,53,0.9556228217552203
125100,1,53,0.9699139878687196
126100,1,53,0.954935283622271
128109,1,53,0.9263056981294113
129100,1,53,0.9666246939948301
129106,1,53,0.973242677980614
133150,1,53,0.9640770085063517
