K_sub,subgrupo,n_hospitales,estabilidad_individual_media,estabilidad_individual_mediana,jaccard_promedio,jaccard_mediana
2,S0,16,0.7048691798239547,0.7609229727345332,0.6013369715665342,0.5954545454545455
2,S1,38,0.831441757904623,0.8461844004269874,0.7827492265948037,0.8332046332046332
3,S0,16,0.5708880334677208,0.6424762239194215,0.6064531945694485,0.5916666666666667
3,S1,22,0.7707694134220905,0.7996269006999622,0.5611128268792587,0.5508620689655173
3,S2,16,0.7784836573897931,0.7833782600774355,0.4984269156457462,0.4375
10,S0,3,0.7450044208664899,0.7405835543766579,0.7367943053510064,0.75
10,S1,4,0.835164158720823,0.8317825162087458,0.8343333333333334,1.0
10,S2,3,0.8225108225108224,0.8409090909090908,0.5282778887778887,0.5
10,S3,5,0.4074689764711482,0.39604629503430105,0.44516738816738816,0.4
10,S4,1,,,1.0,1.0
10,S5,5,0.81286119709837,0.839920424403183,0.3738599794598247,0.3333333333333333
10,S6,17,0.4829042221966733,0.5162040968178166,0.5904523815537748,0.5798319327731092
10,S7,6,0.7456647373324533,0.7390541590085632,0.647357142857143,0.6
10,S8,9,0.506841203199129,0.5878820506807518,0.5774933538683539,0.5555555555555556
10,S9,1,,,1.0,1.0
