rep,n_sub,silhouette,ari_vs_original,nmi_vs_original
0,52,0.41007933702730665,1.0,1.0
1,52,0.40113790495906987,1.0,1.0000000000000002
2,52,0.23476232222467702,0.563781098843893,0.6861751738683929
3,52,0.26756561639646886,0.6176515405479536,0.6895741517438644
4,52,0.3269646817731125,0.7301619227228952,0.753078882028728
5,52,0.32513582005695224,0.7897508462482793,0.7909684508576997
6,52,0.4322483734034054,1.0,1.0
7,52,0.3954156327675377,1.0,1.0
8,52,0.33613257339249425,0.7834132289287226,0.7857944022771781
9,52,0.45282632875663587,0.8269556212270466,0.7666898511099067
10,52,0.3201166770247221,0.7897508462482793,0.7909684508576997
11,52,0.3869861443299779,1.0,1.0
12,52,0.39072492008456255,1.0,1.0
13,52,0.4024074778306211,1.0,1.0
14,52,0.3338731129690001,0.7617732264367042,0.7028647378951214
15,52,0.38813184420233016,1.0,1.0
16,52,0.39866923578694097,1.0,1.0
17,52,0.40689440831517154,1.0,1.0
18,52,0.39178318000252266,0.9169148034838137,0.891110496379463
19,52,0.40391638129433693,1.0,1.0
20,52,0.30495744889108195,0.7897508462482793,0.7909684508576997
21,52,0.36985955846448576,1.0,1.0
22,52,0.40061175026927426,0.4681081548486894,0.5144776632944188
23,52,0.3089796467866559,0.7661122741423396,0.7183520124436692
24,52,0.33696715471417354,0.7951542325019939,0.8019810468985957
25,52,0.32784098373317117,0.7617732264367042,0.7028647378951214
26,52,0.3991833654490125,1.0,1.0
27,52,0.4153216951128711,1.0,1.0
28,52,0.4215093346866304,0.9076649581238616,0.8278369542708851
29,52,0.4411529603374392,0.9187851665536981,0.8969227840782767
30,52,0.4072838855617797,0.9191440336906347,0.8901937167299783
31,52,0.4511768996838873,0.8459234846264152,0.8379796722196151
32,52,0.414570640430235,1.0,1.0
33,52,0.3582721653224304,1.0,1.0
34,52,0.428046431209658,0.9911909842447498,0.9409931076108087
35,52,0.3720781748723486,0.9211059345162184,0.8952988875583602
36,52,0.2737449396679331,0.6681594684068651,0.7163427454651397
37,52,0.371559430402191,1.0,1.0
38,52,0.36702024601063304,1.0,1.0
39,52,0.3769091475086093,0.9211059345162184,0.8952988875583602
40,52,0.2165808971082988,0.5953395244746916,0.6803982012661686
41,52,0.29619827560263556,0.7685516799106323,0.7631029690835305
42,52,0.3363152072896733,0.9169148034838137,0.891110496379463
43,52,0.4145286400354833,1.0,1.0
44,52,0.4573208495549274,0.9111594021363923,0.8865073261624372
45,52,0.40631400070448537,1.0,1.0
46,52,0.41976522807930877,1.0,1.0
47,52,0.3872414809083019,1.0,1.0
48,52,0.3913136781076248,1.0,1.0
49,52,0.3934960164820244,0.8326551102311194,0.8221735224776819
50,52,0.4248734929970367,1.0,1.0
51,52,0.35716589020322453,1.0,1.0
52,52,0.432736352419458,0.9911909842447498,0.9409931076108087
53,52,0.31798174363474985,0.7427594955518193,0.718546628291779
54,52,0.4337171271915018,0.9105840977879446,0.833075728495093
55,52,0.3948514651823676,1.0,1.0
56,52,0.4240422769119461,1.0,1.0
57,52,0.4557378086134402,1.0,1.0
58,52,0.45444906600455304,0.7917664865731784,0.774479281914117
59,52,0.46157365464097044,0.9925272409119471,0.9404986058447324
60,52,0.4144025217841951,0.9911909842447498,0.9409931076108087
61,52,0.3758549801019427,0.9169148034838137,0.8911104963794632
62,52,0.4110217132921728,0.9124145993115601,0.8377920957473098
63,52,0.398203410691966,0.9260116208997642,0.9035216420819707
64,52,0.393630873032072,1.0,1.0
65,52,0.36541063029516907,1.0,1.0
66,52,0.35801145916264127,0.9190457262659091,0.8884741535679478
67,52,0.2942720642599188,0.7747504047316931,0.7802298042882062
68,52,0.49201825859111903,1.0,1.0
69,52,0.4063669070415923,1.0,1.0
70,52,0.3585689821669051,0.9147891810890556,0.8836214069432886
71,52,0.41163754043385187,0.9037480175197837,0.8174062448803018
72,52,0.3910616840869719,1.0,1.0
73,52,0.39794050485671845,1.0,1.0
74,52,0.40677173059614036,0.9091402129129891,0.8800659044208992
75,52,0.13462272609304682,0.3698869992712941,0.6342336124457709
76,52,0.4522409139401536,0.9187851665536981,0.8969227840782767
77,52,0.20224515350470942,0.45161413579733567,0.5770346104687175
78,52,0.4196908630470456,1.0,1.0
79,52,0.5296113747781384,0.9919313618108799,0.9307463999823836
80,52,0.4159646369711988,1.0,1.0
81,52,0.42112009552098717,1.0,1.0000000000000002
82,52,0.3477329999091797,0.8542732590087064,0.8377300307461758
83,52,0.40478454303970257,1.0,1.0
84,52,0.4003242166836103,0.9149157512758131,0.8855376704979319
85,52,0.3953546079445886,0.989897835576989,0.9417339010223669
86,52,0.4090919846329913,1.0,1.0000000000000002
87,52,0.38910371471898614,1.0,1.0
88,52,0.3928647730521204,1.0,1.0
89,52,0.441847986468629,1.0,1.0
90,52,0.39288093914570127,0.9191440336906347,0.8901937167299783
91,52,0.25971444197854393,0.7137571569496146,0.7423888799570362
92,52,0.3988627460235493,1.0,1.0
93,52,0.4250421980317369,1.0,1.0
94,52,0.3865367633668887,0.9149157512758131,0.8855376704979319
95,52,0.29461881577916527,0.7774199564811937,0.7701646025876148
96,52,0.2749227956200805,0.6772711406814312,0.7334954260946434
97,52,0.4107437903315679,0.9211059345162184,0.8952988875583598
98,52,0.3277962716511364,0.7995932206567049,0.8059441588360282
99,52,0.41824078481450133,0.9105840977879446,0.833075728495093
