cluster,COD_HOSPITAL,NOMBRE
0,109101,"Hospital Clínico de Niños Dr. Roberto del Río (Santiago, Independencia)"
0,112102,"Hospital de Niños Dr. Luis Calvo Mackenna (Santiago, Providencia)"
0,113130,"Hospital Dr. Exequiel González Cortés (Santiago, San Miguel)"
1,101100,Hospital Dr. Juan Noé Crevanni (Arica)
1,102100,Hospital Dr. Ernesto Torres Galdames (Iquique)
1,103100,Hospital Dr. Leonardo Guzmán (Antofagasta)
1,103101,Hospital Dr. Carlos Cisternas (Calama)
1,104100,Hospital San José del Carmen (Copiapó)
1,104103,Hospital Provincial del Huasco Monseñor Fernando Ariztía Ruiz (Vallenar)
1,105100,Hospital San Juan de Dios (La Serena)
1,105101,Hospital San Pablo (Coquimbo)
1,105102,Hospital Dr. Antonio Tirado Lanas (Ovalle)
1,106100,Hospital Carlos Van Buren (Valparaíso)
1,106103,Hospital Claudio Vicuña (San Antonio)
1,107100,Hospital Dr. Gustavo Fricke (Viña del Mar)
1,107101,Hospital San Martín (Quillota)
1,107102,Hospital de Quilpué
1,108100,Hospital de San Camilo (San Felipe)
1,108101,Hospital San Juan de Dios (Los Andes)
1,109100,"Complejo Hospitalario San José (Santiago, Independencia)"
1,110100,"Hospital San Juan de Dios (Santiago, Santiago)"
1,110120,"Hospital Dr. Félix Bulnes Cerda (Santiago, Quinta Normal)"
1,110130,Hospital Adalberto Steeger (Talagante)
1,110150,Hospital San José (Melipilla)
1,111100,"Hospital Clínico San Borja-Arriarán (Santiago, Santiago)"
1,111101,Hospital Clínico Metropolitano El Carmen Doctor Luis Valentín Ferrada
1,112101,"Hospital Dr. Luis Tisné B. (Santiago, Peñalolén)"
1,113100,"Hospital Barros Luco Trudeau (Santiago, San Miguel)"
1,113150,Hospital San Luis (Buin)
1,113180,"Hospital El Pino (Santiago, San Bernardo)"
1,114101,"Complejo Hospitalario Dr. Sótero del Río (Santiago, Puente Alto)"
1,114103,Hospital Padre Alberto Hurtado (San Ramón)
1,114105,Hospital Clínico Metropolitano La Florida Dra. Eloisa Díaz Inzunza
1,115100,Hospital Regional de Rancagua
1,115107,Hospital San Juan de Dios (San Fernando)
1,115110,Hospital de Santa Cruz
1,116100,Hospital San Juan de Dios (Curicó)
1,116105,Hospital Dr. César Garavagno Burotto (Talca)
1,116108,Hospital Presidente Carlos Ibáñez del Campo (Linares)
1,116110,Hospital San José (Parral)
1,117101,Hospital Clínico Herminda Martín (Chillán)
1,117102,Hospital de San Carlos
1,118100,Hospital Clínico Regional Dr. Guillermo Grant Benavente (Concepción)
1,118105,Hospital San José (Coronel)
1,119100,Hospital Las Higueras (Talcahuano)
1,120101,Complejo Asistencial Dr. Víctor Ríos Ruiz (Los Ángeles)
1,121109,Hospital Dr. Hernán Henríquez Aravena (Temuco)
1,121121,Hospital de Villarrica
1,122100,Hospital Clínico Regional (Valdivia)
1,123100,Hospital Base San José de Osorno
1,124105,Hospital de Puerto Montt
1,125100,Hospital Regional (Coihaique)
1,126100,Hospital Clínico de Magallanes Dr. Lautaro Navarro Avaria
1,128109,Hospital Provincial Dr. Rafael Avaría (Curanilahue)
1,129100,Hospital Dr. Mauricio Heyermann (Angol)
1,129106,Hospital San José (Victoria)
1,133150,Hospital de Castro
2,111195,Hospital de Urgencia Asistencia Pública Dr. Alejandro del Río
2,112100,"Hospital Del Salvador (Santiago, Providencia)"
2,121110,Hospital Dr. Abraham Godoy (Lautaro)
2,121114,Hospital Intercultural de Nueva Imperial
2,121117,Hospital de Pitrufquén
3,106102,Hospital Dr. Eduardo Pereira Ramírez (Valparaíso)
3,112103,Instituto Nacional de Enfermedades Respiratorias y Cirugía Torácica
3,112104,Instituto de Neurocirugía Dr. Alfonso Asenjo
