variable,coeficiente
egresos_por_anio,1.566036245179853
pct_alta_traslado,-0.5670152629488487
pct_femenino_fertil,-0.38231217497514175
pct_uso_pabellon,0.2806877150799921
pct_estancia_larga,0.2671761020105233
comorbilidades_promedio,-0.10315044236538201
cv_estancia,0.0745696780514421
tasa_prematurez,0.0395091569222944
peso_medio_grd,0.0
estancia_mediana,0.0
estancia_media,0.0
pct_geriatrico,0.0
pct_pediatrico,0.0
tasa_cma,0.0
entropia_grd,0.0
severidad_media,0.0
mortalidad_media,0.0
pct_urgencia,0.0
edad_mediana,0.0
pct_alta_fallecido,0.0
pct_alta_domicilio,0.0
pct_obstetrica_ingreso,0.0
pct_programada,0.0
pabellones_promedio,0.0
pct_origen_referencia,0.0
pct_origen_emergencia,0.0
tasa_partos,0.0
