variable,frecuencia_seleccion
egresos_por_anio,1.0
pct_estancia_larga,1.0
pct_alta_traslado,1.0
pct_femenino_fertil,0.8
pct_uso_pabellon,0.8
tasa_prematurez,0.6
cv_estancia,0.6
comorbilidades_promedio,0.6
peso_medio_grd,0.6
pabellones_promedio,0.4
tasa_cma,0.2
pct_pediatrico,0.2
severidad_media,0.0
pct_geriatrico,0.0
entropia_grd,0.0
estancia_media,0.0
estancia_mediana,0.0
mortalidad_media,0.0
pct_urgencia,0.0
pct_alta_fallecido,0.0
pct_alta_domicilio,0.0
pct_obstetrica_ingreso,0.0
pct_programada,0.0
edad_mediana,0.0
pct_origen_referencia,0.0
pct_origen_emergencia,0.0
tasa_partos,0.0
