replica,n_clusters_efectivo,n_variables_significativas,error_relativo_covarianza_frobenius
0,4,25,0.2479559275221329
1,4,23,0.2866953437117262
2,4,25,0.26590889453144717
3,4,20,0.3451517771704816
4,4,20,0.246685602317024
5,4,23,0.2587973248154438
6,4,20,0.31448131907216814
7,4,25,0.26737187401534956
8,4,21,0.28560805054168725
9,4,23,0.3411425791690738
10,4,20,0.26318525994174263
11,4,23,0.28454250634842304
12,4,22,0.2775494318366703
13,4,26,0.3052002369671007
14,4,25,0.42523422146316825
15,4,18,0.25434509083389106
16,4,23,0.33983969753277754
17,4,21,0.35210016232084945
18,4,24,0.3068720441475381
19,4,20,0.5253727877296737
20,4,26,0.3699041001510766
21,4,19,0.38029130554890334
22,4,26,0.3525749873737573
23,4,13,0.3424280555973531
24,4,24,0.29893381236841277
25,4,23,0.327540516578892
26,4,22,0.24716892719490322
27,4,24,0.34649444252446326
28,4,25,0.2998848207300785
29,4,19,0.2931930873643488
30,4,18,0.27900211993111135
31,4,23,0.5085541463241586
32,4,26,0.322310589393846
33,4,21,0.2515307813294403
34,4,22,0.2752865564607959
35,4,26,0.2873770581818859
36,4,25,0.2535904910300315
37,4,26,0.30413846330911837
38,4,27,0.3231991638511495
39,4,22,0.2624137414758345
40,4,21,0.3483227854936546
41,4,19,0.23032639231256838
42,4,20,0.29900115746671035
43,4,20,0.35554611898562694
44,4,19,0.32875215032596694
45,4,20,0.280384553669431
46,4,23,0.34397545430506526
47,4,20,0.26774887696304156
48,4,27,0.3921077441116089
49,4,25,0.32126393006776105
50,4,24,0.32604056270926546
51,4,22,0.297116981653869
52,4,22,0.2904308433457308
53,4,24,0.2806962638488021
54,4,20,0.2621688627208673
55,4,25,0.3405058795406838
56,4,17,0.2709327206380857
57,4,27,0.3084997928464921
58,4,20,0.2812311124275619
59,4,20,0.32255634971078906
60,4,28,0.4004381013098768
61,4,23,0.25287089865973444
62,4,22,0.2633828576111172
63,4,24,0.2428607569046628
64,4,24,0.29786459991824543
65,4,26,0.24883078500389572
66,4,16,0.35279176531029866
67,4,21,0.24176444753263865
68,4,22,0.2911307299357772
69,4,22,0.2754637414891745
70,4,22,0.30390953948118277
71,4,20,0.31582540657919195
72,4,26,0.3307662789479095
73,4,26,0.3727751289359722
74,4,21,0.2771956513696931
75,4,24,0.3298722551208737
76,4,27,0.31109954844213505
77,4,23,0.2997590327193685
78,4,23,0.2791055328803516
79,4,23,0.28952799951178804
80,4,26,0.28669108039626406
81,4,25,0.3251244264544505
82,4,24,0.2978550548393652
83,4,22,0.294877061229228
84,4,19,0.29139659139767554
85,4,22,0.31175977879818273
86,4,24,0.3793949281947654
87,4,20,0.2638174742668608
88,4,24,0.3197120987014173
89,4,23,0.2732545821754581
90,4,21,0.2733452356008197
91,4,26,0.4530690574891547
92,4,24,0.37955794953127814
93,4,24,0.2723574484175111
94,4,25,0.3467522084729863
95,4,22,0.2461569381037173
96,4,24,0.3088083908292196
97,4,25,0.28451002766772676
98,4,22,0.4071997468660292
99,4,22,0.3380437180672578
100,4,21,0.26794163252327297
101,4,23,0.3272527775065373
102,4,25,0.36176505459263897
103,4,21,0.22501172413394482
104,4,24,0.43126520563495613
105,4,18,0.35419787746524806
106,4,21,0.30785531640402386
107,4,20,0.3736900595098986
108,4,21,0.23236671339916634
109,4,23,0.2863318927091614
110,4,21,0.3558284156124504
111,4,21,0.3251541845137356
112,4,20,0.2789340688118454
113,4,19,0.3988255450907601
114,4,23,0.32937892075988956
115,4,21,0.30056767456517086
116,4,19,0.3610262192116176
117,4,21,0.4162340000922201
118,4,21,0.37053208779168506
119,4,24,0.35913647567592505
120,4,24,0.2852150650097174
121,4,19,0.27205755202685356
122,4,16,0.28396603216705274
123,4,24,0.2948482710965235
124,4,20,0.3579529022090867
125,4,25,0.25311946080460096
126,4,19,0.3189908420651063
127,4,23,0.3124666926516158
128,4,25,0.3478410775838783
129,4,24,0.3022891655915767
130,4,23,0.26075975577259425
131,4,23,0.31168603366887876
132,4,25,0.3113016110374154
133,4,24,0.29757773161602585
134,4,17,0.36931922639547204
135,4,25,0.3992052850847201
136,4,23,0.2509193261679518
137,4,24,0.3167158764385793
138,4,25,0.42210672109277414
139,4,22,0.40118070008037304
140,4,16,0.3843166851208422
141,4,21,0.278474887970476
142,4,23,0.264549620861854
143,4,21,0.2330481049044994
144,4,24,0.3418942413710641
145,4,28,0.2696392770604268
146,4,20,0.379159929947619
147,4,22,0.2927258861690836
148,4,28,0.3703763232081365
149,4,25,0.27611659000077843
150,4,20,0.268633484990692
151,4,23,0.3059017645374609
152,4,22,0.28192078530170617
153,4,23,0.3224747527604379
154,4,16,0.3384099296979769
155,4,27,0.26410116350257984
156,4,20,0.24442922551709928
157,4,27,0.3908056683116845
158,4,25,0.2863341298476581
159,4,22,0.254988075448102
160,4,23,0.27761318206119645
161,4,26,0.2884794090145816
162,4,23,0.2754952894781185
163,4,25,0.27652017952518587
164,4,25,0.3517549740661326
165,4,21,0.3435285283570996
166,4,24,0.27389967285551503
167,4,24,0.2832829875630496
168,4,20,0.28173091702860775
169,4,25,0.2281124635820359
170,4,23,0.2369675604996264
171,4,26,0.3239025194797988
172,4,19,0.3631603363285916
173,4,26,0.35258300814984067
174,4,16,0.2728792157049017
175,4,14,0.2539220975555199
176,4,26,0.31063906306738803
177,4,23,0.3595161253183565
178,4,21,0.3087397099983939
179,4,24,0.23212945769421248
180,4,20,0.29829740736423366
181,4,18,0.29863455802984074
182,4,24,0.32059987238715515
183,4,22,0.2814559433504018
184,4,18,0.3931869448016599
185,4,22,0.3467328763378849
186,4,26,0.38620601565465296
187,4,24,0.3048649275461311
188,4,21,0.31247283473738946
189,4,25,0.3944301127713789
190,4,24,0.23130944583271484
191,4,23,0.29753856835308046
192,4,23,0.35787031347713155
193,4,25,0.2770560435764107
194,4,21,0.2991239298528251
195,4,23,0.33529347750315275
196,4,26,0.22070292992432225
197,4,24,0.3281500465581062
198,4,21,0.24224645659849592
199,4,24,0.30986729554843884
200,4,22,0.2993405654020858
201,4,22,0.3498879087079979
202,4,24,0.34565816312155867
203,4,21,0.33851905427078005
204,4,23,0.31704290318061423
205,4,21,0.2835826703176942
206,4,26,0.3916305738844728
207,4,16,0.3894414629243908
208,4,26,0.3241538087734793
209,4,23,0.3498629301324921
210,4,24,0.31442555587809146
211,4,21,0.2828984528031215
212,4,27,0.28585050313414423
213,4,22,0.33867106875028574
214,4,23,0.38044213607736604
215,4,26,0.3357271339026894
216,4,28,0.34987529688953395
217,4,20,0.3095463598761445
218,4,22,0.2688612990220566
219,4,24,0.2809838425146921
220,4,18,0.4025557478179086
221,4,23,0.3597650965282959
222,4,26,0.3748201696836802
223,4,22,0.3043625336620561
224,4,23,0.30517116299931046
225,4,24,0.32190982677289376
226,4,23,0.27259624236547514
227,4,21,0.35876175295334917
228,4,25,0.35354898429587567
229,4,22,0.29849930044722334
230,4,21,0.3762127663303687
231,4,21,0.2877375379413022
232,4,19,0.31797290239819204
233,4,26,0.27627840005361587
234,4,26,0.29733599006191636
235,4,21,0.3615966979266054
236,4,21,0.3829134187242392
237,4,20,0.43097900285675345
238,4,25,0.291147591942466
239,4,17,0.3192613347103474
240,4,15,0.29171946348144645
241,4,23,0.28736956095833105
242,4,24,0.27919935231448345
243,4,21,0.315870202952323
244,4,22,0.31457087304400755
245,4,28,0.2801591172653123
246,4,26,0.2852541557637445
247,4,18,0.3659527611025248
248,4,24,0.28417310225866704
249,4,24,0.36021158282647675
250,4,22,0.4298635548387701
251,4,22,0.2478228675802934
252,4,19,0.31768444459563444
253,4,22,0.2922701900769171
254,4,23,0.3650478822995377
255,4,22,0.3149404461030423
256,4,23,0.28382898930829653
257,4,20,0.2754943231095741
258,4,22,0.3279563023828506
259,4,21,0.2796095543968206
260,4,22,0.303130954355028
261,4,26,0.28030884352057606
262,4,24,0.4173142325085727
263,4,22,0.3331687025708993
264,4,21,0.22233477888822756
265,4,19,0.3177962414751466
266,4,19,0.2710038926288589
267,4,24,0.3497936513347732
268,4,24,0.34352886165712937
269,4,20,0.4205616346861214
270,4,22,0.2800519936737517
271,4,22,0.27902514058585437
272,4,24,0.3007548138153316
273,4,23,0.29963433907681
274,4,18,0.3628075331359292
275,4,25,0.23525217226059877
276,4,19,0.3175627374439195
277,4,23,0.26768633155965826
278,4,18,0.2887908236934001
279,4,25,0.31311247647696555
280,4,21,0.3124059940970959
281,4,16,0.2594264067274064
282,4,24,0.2692415718001166
283,4,21,0.3114822998639326
284,4,19,0.3371772718522545
285,4,22,0.24735044648078416
286,4,21,0.29967211852247877
287,4,23,0.34666473478373877
288,4,23,0.36279196813360115
289,4,24,0.27955606799250426
290,4,22,0.2914049348973214
291,4,26,0.2572803102224013
292,4,24,0.2623577620134896
293,4,23,0.2781816925717178
294,4,24,0.21520126546422846
295,4,22,0.2603579020197824
296,4,22,0.3744942260133305
297,4,22,0.3943065073617907
298,4,26,0.3040269366498758
299,4,23,0.36358391756694464
300,4,25,0.3765512583675712
301,4,19,0.5752005936884276
302,4,25,0.25585831337807585
303,4,24,0.38560977504115207
304,4,22,0.24302816507323285
305,4,25,0.38371360640686925
306,4,22,0.3372168872307608
307,4,25,0.3170626148623644
308,4,21,0.31855955323398955
309,4,27,0.3621689295270507
310,4,25,0.29580072415107295
311,4,21,0.3270798987544023
312,4,24,0.31870844057375664
313,4,24,0.39218072822537564
314,4,27,0.37342717530228814
315,4,20,0.2779461574246017
316,4,25,0.44858970268185966
317,4,23,0.288898637163621
318,4,22,0.2897358684445675
319,4,20,0.2893874603244601
320,4,23,0.2782777273576743
321,4,25,0.3308417357355409
322,4,23,0.4421990271823617
323,4,20,0.3295973631970881
324,4,25,0.4193172069330836
325,4,28,0.30259214474184826
326,4,23,0.2836614211082111
327,4,25,0.2951618399234551
328,4,25,0.24489385732997443
329,4,17,0.24813242660134952
330,4,23,0.33040994583704447
331,4,19,0.2916530717996811
332,4,20,0.5683416621409921
333,4,25,0.3363202726149672
334,4,17,0.3123892775022471
335,4,20,0.3577764062263881
336,4,24,0.4106356671297585
337,4,23,0.2573679514990255
338,4,28,0.35957372791663045
339,4,22,0.27786036177813306
340,4,22,0.726226929285918
341,4,22,0.3143692387989756
342,4,25,0.2508655164676958
343,4,24,0.31066019800419625
344,4,27,0.3104573382441575
345,4,22,0.27140761177931677
346,4,22,0.3543906576123212
347,4,25,0.34988742515943094
348,4,24,0.368345428795701
349,4,25,0.2969848666059423
350,4,24,0.6420094886125984
351,4,20,0.3901667232105241
352,4,23,0.2875225632315821
353,4,24,0.3787296481540231
354,4,19,0.3051769765439612
355,4,23,0.31831283806384153
356,4,24,0.3215658473291385
357,4,24,0.4286275185049547
358,4,25,0.39753974994678043
359,4,27,0.44163334878525917
360,4,24,0.33241067863316043
361,4,25,0.2588358660195053
362,4,25,0.4248659049907625
363,4,19,0.32573676698765025
364,4,24,0.2663312243495511
365,4,21,0.3448940428620468
366,4,23,0.39611886123818896
367,4,19,0.3048848304495759
368,4,24,0.3021181541994584
369,4,18,0.32391602300346145
370,4,26,0.2793359883754125
371,4,23,0.28809311677474037
372,4,27,0.30565473292544104
373,4,23,0.3075029572977403
374,4,20,0.3246686465624391
375,4,27,0.3064741354555169
376,4,20,0.2798043782903449
377,4,24,0.29861523831420583
378,4,24,0.4507906107194168
379,4,26,0.2774983633835562
380,4,20,0.3165930015990465
381,4,22,0.2579816468984215
382,4,25,0.25773589691589355
383,4,24,0.3750751393831576
384,4,20,0.2669371511905251
385,4,25,0.28901635440166196
386,4,21,0.2764417237377587
387,4,19,0.25680200998457164
388,4,19,0.3075221668833842
389,4,18,0.2573871892228159
390,4,21,0.300985300825961
391,4,17,0.34030029290244546
392,4,15,0.28002719056199293
393,4,21,0.4348698519385931
394,4,16,0.2800498993554763
395,4,23,0.24637874220826275
396,4,21,0.30750419903954723
397,4,26,0.3353557480071974
398,4,18,0.23671316832813605
399,4,23,0.242285887004343
400,4,20,0.34206331799828443
401,4,22,0.3871788093387482
402,4,21,0.24935352833400243
403,4,22,0.32786772142121845
404,4,25,0.46620391942546346
405,4,23,0.2582091904297235
406,4,25,0.3268305547038008
407,4,21,0.3176280284972794
408,4,26,0.44376044944169707
409,4,17,0.25694701325798475
410,4,24,0.34347271423069786
411,4,17,0.3139609379891392
412,4,19,0.3496483070483106
413,4,26,0.23660717032473455
414,4,21,0.3159319384307516
415,4,21,0.23493162586401412
416,4,22,0.300281145911454
417,4,18,0.33316274260624495
418,4,19,0.34000630408415033
419,4,23,0.3323415200197135
420,4,24,0.23454882267916105
421,4,19,0.2853436658805775
422,4,20,0.3182248061675684
423,4,24,0.2750960110091947
424,4,25,0.22907450264981652
425,4,24,0.3829716137263733
426,4,20,0.2925230849988765
427,4,23,0.40632323441399626
428,4,18,0.3556012673727702
429,4,24,0.28954162880155915
430,4,18,0.36187349496545246
431,4,20,0.3119582649007854
432,4,23,0.3669708959276456
433,4,21,0.28780568478459356
434,4,26,0.2918562637486858
435,4,19,0.26277138997928623
436,4,25,0.3745850827442601
437,4,20,0.2676187287791619
438,4,21,0.3280070626737637
439,4,21,0.3707432454772346
440,4,21,0.32460714496924514
441,4,21,0.3273514981429533
442,4,21,0.3656579660393544
443,4,20,0.2566569794596002
444,4,26,0.29428409901968716
445,4,23,0.21030976173460506
446,4,20,0.3711656097711831
447,4,24,0.2333637895854139
448,4,24,0.3103837893298804
449,4,18,0.2944393096106844
450,4,22,0.3140300136680654
451,4,25,0.3553471658929461
452,4,21,0.3959484150889618
453,4,26,0.35670742364753866
454,4,27,0.42870140196968654
455,4,20,0.36161080417247315
456,4,26,0.22311583710899333
457,4,25,0.24768414263611271
458,4,20,0.3057106702977792
459,4,23,0.3172869310686792
460,4,24,0.34069929318828074
461,4,22,0.35798552631805913
462,4,22,0.22780409749397326
