COD_HOSPITAL,NOMBRE_HOSPITAL,cluster_semantico,SERVICIO_SALUD,COMPLEJIDAD_MINSAL,egresos_por_anio,estancia_media_dias,peso_medio_grd,severidad_media,mortalidad_media,tasa_cma_pct,nivel_cma,diversidad_grd,comorbilidades_promedio,top3_capitulos_cie10,top3_secciones_cie9_proc,top3_grds_top20_nacional,perfil_resumen
111195,Hospital de Urgencia Asistencia Pública Dr. Alejandro del Río,Centros de referencia / monográficos,METROPOLITANO CENTRAL,Alta Complejidad,10666,9.09,1.521,1.922,1.822,0.06,Marginal (0.06%),0.817,2.74,"Trauma (26.5%), Digestivo (18.9%), Cardiovascular (17.2%)","diagnóstico (73.7%), cardiovascular-quirúrgico (7.4%), digestivo-quirúrgico (6.0%)","GRD 61131 (5.2%), GRD 41023 (4.9%), GRD 44153 (4.0%)","Hospital de alto volumen (10,666 egresos/año) y complejidad muy alta. CMA: marginal (0.06%). Casuística dominante: Trauma."
106102,Hospital Dr. Eduardo Pereira Ramírez (Valparaíso),Centros de referencia / monográficos,VALPARAISO SAN ANTONIO,Alta Complejidad,4107,11.76,1.315,2.0,1.806,10.03,Media (10.0%),0.825,3.58,"Digestivo (26.3%), Neoplasias (20.3%), Cardiovascular (12.9%)","diagnóstico (76.2%), digestivo-quirúrgico (12.1%), dermatológico-quirúrgico (3.1%)","GRD 71141 (2.8%), GRD 44153 (1.1%), GRD 41023 (1.0%)","Hospital de bajo volumen (4,107 egresos/año) y complejidad alta. CMA: media (10.0%). Casuística dominante: Digestivo."
112103,Instituto Nacional de Enfermedades Respiratorias y Cirugía Torácica,Centros de referencia / monográficos,METROPOLITANO ORIENTE,Alta Complejidad,4038,8.66,2.131,1.892,1.855,0.01,Marginal (0.01%),0.771,3.47,"Cardiovascular (42.4%), Contacto sanitario (16.7%), Respiratorio (12.9%)","diagnóstico (57.1%), cardiovascular-quirúrgico (27.2%), respiratorio-quirúrgico (7.3%)","GRD 44153 (1.9%), GRD 41023 (1.5%), GRD 41203 (1.1%)","Hospital de bajo volumen (4,038 egresos/año) y complejidad muy alta. CMA: marginal (0.01%). Casuística dominante: Cardiovascular."
112104,Instituto de Neurocirugía Dr. Alfonso Asenjo,Centros de referencia / monográficos,METROPOLITANO ORIENTE,Alta Complejidad,3325,7.09,1.874,1.823,1.475,0.0,Sin CMA,0.704,3.17,"Cardiovascular (23.4%), Neoplasias (18.2%), Musculoesquelético (18.0%)","diagnóstico (66.1%), neuroquirúrgico (14.6%), cardiovascular-quirúrgico (6.4%)",GRD 41023 (1.7%),"Hospital de bajo volumen (3,325 egresos/año) y complejidad muy alta. CMA: sin cma. Casuística dominante: Cardiovascular."
112100,"Hospital Del Salvador (Santiago, Providencia)",Hospitales con alta modernización CMA,METROPOLITANO ORIENTE,Alta Complejidad,11071,10.22,1.318,1.918,1.841,38.69,Alta (≥25%),0.866,3.11,"Trauma (20.3%), Cardiovascular (15.7%), Digestivo (12.5%)","diagnóstico (76.0%), digestivo-quirúrgico (6.6%), ortopédico (4.3%)","GRD 44153 (3.1%), GRD 41023 (1.6%), GRD 81701 (1.6%)","Hospital de alto volumen (11,071 egresos/año) y complejidad alta. CMA: alta (≥25%). Casuística dominante: Trauma."
126100,Hospital Clínico de Magallanes Dr. Lautaro Navarro Avaria,Hospitales con alta modernización CMA,MAGALLANES,Alta Complejidad,10114,8.3,1.087,1.822,1.627,14.25,Media (14.2%),0.865,3.36,"Digestivo (16.6%), Embarazo/parto (12.7%), Trauma (11.4%)","diagnóstico (75.0%), digestivo-quirúrgico (5.3%), obstétrico-quirúrgico (5.0%)","GRD 44153 (2.0%), GRD 146101 (2.0%), GRD 146121 (2.0%)","Hospital de alto volumen (10,114 egresos/año) y complejidad media. CMA: media (14.2%). Casuística dominante: Digestivo."
121114,Hospital Intercultural de Nueva Imperial,Hospitales con alta modernización CMA,ARAUCANÍA SUR,Mediana Complejidad,4626,8.67,0.927,1.71,1.614,23.06,Media (23.1%),0.831,3.09,"Digestivo (14.8%), Trauma (14.7%), Embarazo/parto (12.2%)","diagnóstico (81.1%), ortopédico (4.6%), digestivo-quirúrgico (2.9%)","GRD 134161 (6.3%), GRD 71141 (3.5%), GRD 44153 (3.1%)","Hospital de bajo volumen (4,626 egresos/año) y complejidad estándar. CMA: media (23.1%). Casuística dominante: Digestivo."
121110,Hospital Dr. Abraham Godoy (Lautaro),Hospitales con alta modernización CMA,ARAUCANÍA SUR,Mediana Complejidad,2700,7.78,0.832,1.744,1.63,41.59,Alta (≥25%),0.813,3.25,"Embarazo/parto (18.1%), Digestivo (16.1%), Cardiovascular (13.8%)","diagnóstico (84.1%), obstétrico-quirúrgico (4.3%), urológico-quirúrgico (2.2%)","GRD 134161 (9.1%), GRD 44153 (2.6%), GRD 146101 (2.0%)","Hospital de bajo volumen (2,700 egresos/año) y complejidad estándar. CMA: alta (≥25%). Casuística dominante: Embarazo/parto."
121117,Hospital de Pitrufquén,Hospitales con alta modernización CMA,ARAUCANÍA SUR,Mediana Complejidad,2663,7.07,0.943,1.908,1.802,34.84,Alta (≥25%),0.845,3.33,"Digestivo (18.5%), Cardiovascular (17.5%), Embarazo/parto (10.3%)","diagnóstico (81.5%), digestivo-quirúrgico (7.3%), obstétrico-quirúrgico (2.6%)","GRD 134161 (3.7%), GRD 131201 (2.9%), GRD 71141 (2.5%)","Hospital de bajo volumen (2,663 egresos/año) y complejidad estándar. CMA: alta (≥25%). Casuística dominante: Digestivo."
114101,"Complejo Hospitalario Dr. Sótero del Río (Santiago, Puente Alto)",Hospitales generales SNSS,METROPOLITANO SURORIENTE,Alta Complejidad,39066,5.9,1.12,1.719,1.606,17.49,Media (17.5%),0.839,3.19,"Embarazo/parto (13.2%), Cardiovascular (11.6%), Digestivo (10.6%)","diagnóstico (73.4%), obstétrico-quirúrgico (5.0%), digestivo-quirúrgico (4.0%)","GRD 146101 (2.0%), GRD 44153 (1.9%), GRD 146131 (1.9%)","Hospital de muy alto volumen (39,066 egresos/año) y complejidad media. CMA: media (17.5%). Casuística dominante: Embarazo/parto."
