rep,n_clusters_efectivo,n_variables_significativas
0,4,0
1,4,2
2,4,0
3,4,0
4,4,1
5,4,1
6,4,0
7,4,3
8,4,0
9,4,2
10,4,2
11,4,2
12,4,0
13,4,0
14,4,1
15,4,1
16,4,0
17,4,0
18,4,4
19,4,3
20,4,0
21,4,0
22,4,0
23,4,1
24,4,0
25,4,6
26,4,0
27,4,0
28,4,0
29,4,0
30,4,0
31,4,4
32,4,1
33,4,3
34,4,1
35,4,3
36,4,0
37,4,0
38,4,4
39,4,0
40,4,2
41,4,2
42,4,0
43,4,2
44,4,1
45,4,1
46,4,2
47,4,4
48,4,1
49,4,1
50,4,0
51,4,4
52,4,2
53,4,6
54,4,0
55,4,0
56,4,0
57,4,7
58,4,0
59,4,3
60,4,0
61,4,4
62,4,0
63,4,0
64,4,0
65,4,1
66,4,0
67,4,0
68,4,1
69,4,0
70,4,0
71,4,4
72,4,0
73,4,0
74,4,3
75,4,0
76,4,0
77,4,0
78,4,0
79,4,4
80,4,3
81,4,0
82,4,1
83,4,0
84,4,2
85,4,2
86,4,0
87,4,6
88,4,1
89,4,0
90,4,0
91,4,4
92,4,5
93,4,1
94,4,0
95,4,0
96,4,0
97,4,0
98,4,0
99,4,0
100,4,3
101,4,2
102,4,2
103,4,6
104,4,3
105,4,0
106,4,8
107,4,4
108,4,6
109,4,0
110,4,2
111,4,1
112,4,0
113,4,0
114,4,1
115,4,0
116,4,7
117,4,3
118,4,4
119,4,3
120,4,3
121,4,1
122,4,0
123,4,3
124,4,0
125,4,1
126,4,6
127,4,4
128,4,4
129,4,2
130,4,1
131,4,0
132,4,1
133,4,2
134,4,1
135,4,0
136,4,3
137,4,5
138,4,1
139,4,0
140,4,1
141,4,1
142,4,2
143,4,0
144,4,1
145,4,0
146,4,1
147,4,2
148,4,2
149,4,0
150,4,0
151,4,2
152,4,1
153,4,0
154,4,0
155,4,0
156,4,4
157,4,4
158,4,0
159,4,0
160,4,0
161,4,3
162,4,0
163,4,0
164,4,1
165,4,1
166,4,0
167,4,0
168,4,0
169,4,0
170,4,0
171,4,3
172,4,0
173,4,0
174,4,0
175,4,0
176,4,0
177,4,3
178,4,3
179,4,0
180,4,0
181,4,4
182,4,4
183,4,0
184,4,0
185,4,0
186,4,6
187,4,1
188,4,1
189,4,0
190,4,0
191,4,1
192,4,5
193,4,1
194,4,0
195,4,2
196,4,0
197,4,1
198,4,2
199,4,1
200,4,0
201,4,2
202,4,5
203,4,2
204,4,5
205,4,0
206,4,0
207,4,0
208,4,1
209,4,1
210,4,3
211,4,2
212,4,1
213,4,0
214,4,1
215,4,4
216,4,2
217,4,2
218,4,0
219,4,0
220,4,0
221,4,7
222,4,0
223,4,1
224,4,0
225,4,5
226,4,0
227,4,3
228,4,0
229,4,2
230,4,1
231,4,0
232,4,2
233,4,1
234,4,2
235,4,0
236,4,1
237,4,0
238,4,2
239,4,0
