variable,test,estadistico_H,p_valor,epsilon_cuadrado,med_S0,med_S1,med_S2,med_S3,med_S4,med_S5,med_S6,med_S7,med_S8,p_valor_ajustado_BH,discrimina_BH
peso_medio_grd,Kruskal-Wallis,41.8971492704826,1.4157779032844996e-06,0.7532699837885022,0.8740258275486203,0.9617972236304536,0.8013562456853025,0.7459010865270531,0.928364195922621,1.1602892086959444,0.9509080459363333,1.1063563866324793,1.2731764473593845,3.964178129196599e-05,si
pct_femenino_fertil,Kruskal-Wallis,37.21802469135804,1.0493347894474123e-05,0.6492894375857342,0.44603097773475314,0.43359840954274353,0.4041121417531614,0.31843712730089474,0.3143869288606131,0.32076767321066996,0.36586729274973445,0.29989852498772007,0.2715043609642195,0.00014690687052263773,si
pct_obstetrica_ingreso,Kruskal-Wallis,35.75061728395059,1.950530381974432e-05,0.6166803840877909,0.30838835901198336,0.3086381709741551,0.2888556785049628,0.19816285204486556,0.1840254789498993,0.19183880799187267,0.24000420138645753,0.17951698735361793,0.1661286999519264,0.00016807838553504996,si
entropia_grd,Kruskal-Wallis,35.25634118967449,2.4011197933578562e-05,0.6056964708816552,0.7626094608983744,0.7823816929847743,0.80527312898268,0.8085897903854993,0.825849041209836,0.8352902352790691,0.8146331961262283,0.8429381960469648,0.8495743859934649,0.00016807838553504996,si
pct_estancia_larga,Kruskal-Wallis,34.30859708193043,3.571487252887848e-05,0.5846354907095651,0.022542211177919283,0.03553677932405567,0.012528062873815915,0.008532921168613176,0.021270887057104955,0.045674417079329684,0.03346823815988125,0.044039865854598834,0.03962639928576334,0.00019919965882916847,si
tasa_prematurez,Kruskal-Wallis,33.881459034792385,4.268564117767895e-05,0.5751435341064974,0.07780689377141706,0.0855917332813414,0.04650758140691026,0.046472288450524125,0.05964912280701754,0.11160318866253321,0.08306294613887086,0.09128382176085106,0.13054607508532423,0.00019919965882916847,si
mortalidad_media,Kruskal-Wallis,32.57102132435466,7.356872911291221e-05,0.5460226960967702,1.4916101968376896,1.4476386445193292,1.430844679279994,1.530957186486516,1.4655699177438308,1.510907398790135,1.5302901511018636,1.637181601288841,1.6087064762035574,0.00029427491645164886,si
egresos_por_anio,Kruskal-Wallis,31.934320987654303,9.569842914659016e-05,0.5318737997256512,13111.666666666666,16766.666666666668,5283.166666666666,5349.25,8129.666666666667,20328.666666666668,12696.0,19734.333333333332,19414.666666666668,0.00032534516714764826,si
edad_mediana,Kruskal-Wallis,31.71899803478098,0.00010457523229745838,0.5270888452173551,37.66461327857632,32.07118412046543,37.52361396303901,44.09719370294319,43.115674195756334,42.26420260095825,38.94182067077344,44.84531143052703,39.28678986995209,0.00032534516714764826,si
pct_urgencia,Kruskal-Wallis,31.005364758698107,0.00014019482323224383,0.511230327971069,0.5391830646549252,0.22616302186878728,0.5657053631529531,0.7134045880825646,0.6076802086135888,0.5085506264815441,0.6189748915633209,0.6446591743847652,0.6580849529565277,0.0003925455050502827,si
estancia_media,Kruskal-Wallis,30.276228956228977,0.0001888799478947195,0.4950273101384217,5.782485227468303,6.125974155069582,4.806804185319105,4.85277808008156,5.947936035701004,7.724098351247427,6.986323441722384,8.092458465536541,7.821106036673306,0.0004807853219138315,si
pct_alta_domicilio,Kruskal-Wallis,28.775937149270504,0.0003471205442735277,0.4616874922060112,0.8790660317824566,0.9640258449304175,0.8317142740855135,0.8370028055154,0.8975088131609871,0.917785016286645,0.8816818945599664,0.8435287832591076,0.8834214683057482,0.0007342496987231153,si
