variable,estadistico_H,p_valor,discrimina
tasa_partos,28.952292043487528,5.165229985231053e-07,si
edad_mediana,28.2776209115832,7.237567687353321e-07,si
pct_obstetrica_ingreso,25.45022441370065,2.9754591139686753e-06,si
pct_pediatrico,24.56476521382183,4.6326448692306415e-06,si
pct_femenino_fertil,22.92502968729383,1.0517028593442532e-05,si
pct_geriatrico,21.37514842653669,2.2826824206147726e-05,si
severidad_media,20.657196053422467,3.268487822207302e-05,si
tasa_prematurez,20.534008831232295,3.476135017243598e-05,si
mortalidad_media,19.935717113075583,4.6882853023485306e-05,si
comorbilidades_promedio,17.84739704739704,0.00013319470888953317,si
egresos_por_anio,15.931318995469923,0.0003471826673209,si
pct_alta_domicilio,14.537760771723043,0.0006968918070536144,si
estancia_mediana,13.137135170363546,0.0014038068063213993,si
peso_medio_cma,13.055153000978843,0.0014625460378390246,si
pct_alta_fallecido,12.734673293163866,0.0017167253886450763,si
pct_alta_traslado,11.425887320226934,0.003302935501165191,si
estancia_media,8.52852472475115,0.01406223614275247,si
pct_uso_pabellon,8.161217398953227,0.016897177218811454,si
pct_origen_referencia,7.8443535500139205,0.019797952118150653,si
peso_medio_grd,7.442037208074936,0.024209295595959458,si
pct_estancia_larga,7.377683951268864,0.02500093697954578,si
entropia_grd,5.041485977335071,0.0803998483761693,no
pct_programada,4.960372960372979,0.08372761059585927,no
cv_estancia,4.825028221254627,0.08958977259805333,no
pct_origen_emergencia,4.664889827153985,0.09705815795728862,no
pct_urgencia,3.0982216944480854,0.21243677862757981,no
pabellones_promedio,2.1701015965166732,0.33788462150846493,no
tasa_cma,0.13450030771459606,0.9349612879082285,no
