COD_HOSPITAL,NOMBRE,marcado_isolation_forest_preclustering,iso_score,cluster_base,cluster_sin_IF,cluster_sin_IF_entrenado
101100,Hospital Dr. Juan Noé Crevanni (Arica),False,-0.38743921756786204,1,2,2.0
102100,Hospital Dr. Ernesto Torres Galdames (Iquique),False,-0.38382605221254057,1,2,2.0
103100,Hospital Dr. Leonardo Guzmán (Antofagasta),False,-0.39994944002114874,1,2,2.0
103101,Hospital Dr. Carlos Cisternas (Calama),False,-0.3973798559499315,1,2,2.0
104100,Hospital San José del Carmen (Copiapó),False,-0.38120372985508744,1,2,2.0
104103,Hospital Provincial del Huasco Monseñor Fernando Ariztía Ruiz (Vallenar),False,-0.37771499592475666,1,2,2.0
105100,Hospital San Juan de Dios (La Serena),False,-0.3846444687609725,1,2,2.0
105101,Hospital San Pablo (Coquimbo),False,-0.3799011818809931,1,2,2.0
105102,Hospital Dr. Antonio Tirado Lanas (Ovalle),False,-0.40021005861179465,1,2,2.0
106100,Hospital Carlos Van Buren (Valparaíso),False,-0.4284329784757061,1,2,2.0
106102,Hospital Dr. Eduardo Pereira Ramírez (Valparaíso),True,-0.6152274076288282,3,0,
106103,Hospital Claudio Vicuña (San Antonio),False,-0.43747350974959653,1,1,1.0
107100,Hospital Dr. Gustavo Fricke (Viña del Mar),False,-0.4559568753282456,1,2,2.0
107101,Hospital San Martín (Quillota),False,-0.415635006770683,1,2,2.0
107102,Hospital de Quilpué,False,-0.4312892486340503,1,1,1.0
108100,Hospital de San Camilo (San Felipe),False,-0.36942546196189613,1,2,2.0
108101,Hospital San Juan de Dios (Los Andes),False,-0.41880021188875133,1,2,2.0
109100,"Complejo Hospitalario San José (Santiago, Independencia)",False,-0.4540828625645114,1,1,1.0
109101,"Hospital Clínico de Niños Dr. Roberto del Río (Santiago, Independencia)",False,-0.5478489872501636,0,3,3.0
110100,"Hospital San Juan de Dios (Santiago, Santiago)",False,-0.4017536489208574,1,2,2.0
110120,"Hospital Dr. Félix Bulnes Cerda (Santiago, Quinta Normal)",False,-0.40040641508891145,1,2,2.0
110130,Hospital Adalberto Steeger (Talagante),False,-0.4477939349973902,1,1,1.0
110150,Hospital San José (Melipilla),False,-0.4769359914144429,1,1,1.0
111100,"Hospital Clínico San Borja-Arriarán (Santiago, Santiago)",False,-0.5143309041013338,1,1,1.0
111101,Hospital Clínico Metropolitano El Carmen Doctor Luis Valentín Ferrada,False,-0.44544123429995874,1,2,2.0
111195,Hospital de Urgencia Asistencia Pública Dr. Alejandro del Río,True,-0.5878512145101189,2,2,
112100,"Hospital Del Salvador (Santiago, Providencia)",True,-0.5815442649809324,2,0,
112101,"Hospital Dr. Luis Tisné B. (Santiago, Peñalolén)",False,-0.4641382844339192,1,1,1.0
112102,"Hospital de Niños Dr. Luis Calvo Mackenna (Santiago, Providencia)",True,-0.5669399907269038,0,3,
112103,Instituto Nacional de Enfermedades Respiratorias y Cirugía Torácica,True,-0.6380390394425067,3,2,
112104,Instituto de Neurocirugía Dr. Alfonso Asenjo,True,-0.6292238753113686,3,2,
113100,"Hospital Barros Luco Trudeau (Santiago, San Miguel)",False,-0.4221628504404223,1,2,2.0
113130,"Hospital Dr. Exequiel González Cortés (Santiago, San Miguel)",True,-0.5931212069051909,0,3,
113150,Hospital San Luis (Buin),False,-0.4335800590994578,1,1,1.0
113180,"Hospital El Pino (Santiago, San Bernardo)",False,-0.42663540539550376,1,1,1.0
114101,"Complejo Hospitalario Dr. Sótero del Río (Santiago, Puente Alto)",False,-0.43399451753453705,1,2,2.0
114103,Hospital Padre Alberto Hurtado (San Ramón),False,-0.3854116786613434,1,2,2.0
114105,Hospital Clínico Metropolitano La Florida Dra. Eloisa Díaz Inzunza,False,-0.39017700410192063,1,2,2.0
115100,Hospital Regional de Rancagua,False,-0.38801014508136183,1,2,2.0
115107,Hospital San Juan de Dios (San Fernando),False,-0.37068566503670447,1,2,2.0
115110,Hospital de Santa Cruz,False,-0.4646583479078613,1,1,1.0
116100,Hospital San Juan de Dios (Curicó),False,-0.3720877271072313,1,2,2.0
116105,Hospital Dr. César Garavagno Burotto (Talca),False,-0.3872294684716493,1,2,2.0
116108,Hospital Presidente Carlos Ibáñez del Campo (Linares),False,-0.3693292635026681,1,2,2.0
116110,Hospital San José (Parral),False,-0.4697478869840925,1,1,1.0
117101,Hospital Clínico Herminda Martín (Chillán),False,-0.3658689981179264,1,2,2.0
117102,Hospital de San Carlos,False,-0.4264285653068467,1,2,2.0
118100,Hospital Clínico Regional Dr. Guillermo Grant Benavente (Concepción),False,-0.42683503738045964,1,2,2.0
118105,Hospital San José (Coronel),False,-0.44473340979481385,1,1,1.0
119100,Hospital Las Higueras (Talcahuano),False,-0.3876575755680741,1,2,2.0
120101,Complejo Asistencial Dr. Víctor Ríos Ruiz (Los Ángeles),False,-0.38013681633873697,1,2,2.0
121109,Hospital Dr. Hernán Henríquez Aravena (Temuco),False,-0.42664864764373345,1,2,2.0
121110,Hospital Dr. Abraham Godoy (Lautaro),False,-0.5042596840730229,2,0,0.0
121114,Hospital Intercultural de Nueva Imperial,False,-0.4788244670210618,2,0,0.0
121117,Hospital de Pitrufquén,False,-0.529133321356923,2,0,0.0
121121,Hospital de Villarrica,False,-0.4930460144895255,1,1,1.0
122100,Hospital Clínico Regional (Valdivia),False,-0.38966388782120237,1,2,2.0
123100,Hospital Base San José de Osorno,False,-0.38039860687678206,1,2,2.0
124105,Hospital de Puerto Montt,False,-0.38274296081392245,1,2,2.0
125100,Hospital Regional (Coihaique),False,-0.45308477955298454,1,2,2.0
126100,Hospital Clínico de Magallanes Dr. Lautaro Navarro Avaria,False,-0.4406978223407438,1,2,2.0
128109,Hospital Provincial Dr. Rafael Avaría (Curanilahue),False,-0.4580898455829121,1,1,1.0
129100,Hospital Dr. Mauricio Heyermann (Angol),False,-0.3694256853323419,1,2,2.0
129106,Hospital San José (Victoria),False,-0.40234852492995293,1,2,2.0
133150,Hospital de Castro,False,-0.3870701293450606,1,2,2.0
