COD_HOSPITAL,cluster_base,cluster_ponderado,cluster_sin_demografico_obstetrico
101100,1,1,3
102100,1,1,3
103100,1,1,3
103101,1,1,3
104100,1,1,3
104103,1,1,3
105100,1,1,3
105101,1,1,3
105102,1,1,3
106100,1,1,3
106102,3,3,0
106103,1,1,3
107100,1,1,3
107101,1,1,3
107102,1,1,1
108100,1,1,3
108101,1,1,3
109100,1,1,3
109101,0,0,2
110100,1,1,3
110120,1,1,3
110130,1,1,3
110150,1,1,3
111100,1,1,3
111101,1,1,3
111195,2,2,3
112100,2,2,3
112101,1,1,3
112102,0,0,2
112103,3,3,0
112104,3,3,0
113100,1,1,3
113130,0,0,2
113150,1,1,3
113180,1,1,3
114101,1,1,3
114103,1,1,3
114105,1,1,3
115100,1,1,3
115107,1,1,3
115110,1,1,1
116100,1,1,3
116105,1,1,3
116108,1,1,3
116110,1,1,1
117101,1,1,3
117102,1,1,3
118100,1,1,3
118105,1,1,1
119100,1,1,3
120101,1,1,3
121109,1,1,3
121110,2,2,1
121114,2,2,1
121117,2,2,1
121121,1,1,1
122100,1,1,3
123100,1,1,3
124105,1,1,3
125100,1,1,3
126100,1,1,3
128109,1,1,1
129100,1,1,3
129106,1,1,3
133150,1,1,3
