COD_HOSPITAL,cluster_canonico,cluster_sin_tasa_partos
101100,1,2
102100,1,2
103100,1,2
103101,1,2
104100,1,2
104103,1,2
105100,1,2
105101,1,2
105102,1,2
106100,1,2
106102,3,1
106103,1,3
107100,1,2
107101,1,2
107102,1,3
108100,1,2
108101,1,2
109100,1,2
109101,0,0
110100,1,2
110120,1,2
110130,1,2
110150,1,2
111100,1,2
111101,1,2
111195,2,3
112100,2,3
112101,1,2
112102,0,0
112103,3,1
112104,3,1
113100,1,2
113130,0,0
113150,1,2
113180,1,2
114101,1,2
114103,1,2
114105,1,2
115100,1,2
115107,1,2
115110,1,3
116100,1,2
116105,1,2
116108,1,2
116110,1,3
117101,1,2
117102,1,2
118100,1,2
118105,1,3
119100,1,2
120101,1,2
121109,1,2
121110,2,3
121114,2,3
121117,2,3
121121,1,3
122100,1,2
123100,1,2
124105,1,2
125100,1,2
126100,1,2
128109,1,3
129100,1,2
129106,1,2
133150,1,2
