COD_HOSPITAL,cluster_oficial_k8,cluster_k11
101100,1,1
102100,1,1
103100,1,1
103101,1,1
104100,1,1
104103,1,1
105100,1,1
105101,1,1
105102,1,1
106100,1,1
106102,3,3
106103,1,1
107100,1,1
107101,1,1
107102,1,1
108100,1,1
108101,1,1
109100,1,1
109101,0,0
110100,1,1
110120,1,1
110130,1,1
110150,1,1
111100,1,1
111101,1,1
111195,2,2
112100,2,2
112101,1,1
112102,0,0
112103,3,3
112104,3,3
113100,1,1
113130,0,0
113150,1,1
113180,1,1
114101,1,1
114103,1,1
114105,1,1
115100,1,1
115107,1,1
115110,1,1
116100,1,1
116105,1,1
116108,1,1
116110,1,1
117101,1,1
117102,1,1
118100,1,1
118105,1,1
119100,1,1
120101,1,1
121109,1,1
121110,2,2
121114,2,2
121117,2,2
121121,1,1
122100,1,1
123100,1,1
124105,1,1
125100,1,1
126100,1,1
128109,1,1
129100,1,1
129106,1,1
133150,1,1
