ranking,COD_GRD,frecuencia_nacional,pct_total_nacional
1,146101,180188,3.6908848123494336
2,146121,134220,2.7492982857545507
3,146131,133639,2.737397359633083
4,061131,111893,2.291962696229578
5,044153,93703,1.9193674360755375
6,134161,90705,1.8579578379478952
7,146102,78880,1.6157401935651836
8,071141,77856,1.5947650673201184
9,044163,74404,1.5240559503299178
10,041023,65813,1.3480820152016408
11,131201,64308,1.3172543150074776
12,158171,63589,1.3025266628881398
13,131111,60533,1.2399290205005231
14,081801,49877,1.0216566130128126
15,041203,44971,0.9211644554363574
16,131301,44016,0.9016026921902272
17,134162,33501,0.6862184612655581
18,054123,32932,0.6745633374047747
19,081701,31596,0.6471973523819161
20,084121,30125,0.6170660919263584
